Mouse_RFID,Group_ID,mutant,RC,age
0007CDDBAF,10,FALSE,TRUE,77
0007CDE223,10,FALSE,TRUE,94
0007CB0942,10,FALSE,FALSE,75
0007CB47A6,10,FALSE,FALSE,76
0007F2B3FF,11,FALSE,FALSE,18
0007CA3A72,11,TRUE,FALSE,18
0007CB0B74,11,FALSE,FALSE,18
0007CB0DBC,11,TRUE,FALSE,18
0007CB2407,11,TRUE,FALSE,18
0007F2B8A2,11,TRUE,FALSE,18
0007F2B9FC,11,FALSE,FALSE,18
0007F2B59E,11,FALSE,TRUE,16
0007F2E3D4,11,FALSE,FALSE,18
0007F2E37E,11,FALSE,TRUE,18
0007CB0A48,12,FALSE,TRUE,18
0007CB0AD4,12,FALSE,FALSE,16
0007CB2ED2,12,FALSE,TRUE,16
0007CB39C9,12,TRUE,FALSE,18
0007CB321B,12,FALSE,FALSE,18
0007CB464C,12,TRUE,FALSE,16
0007F2B770,12,TRUE,FALSE,17
0007F2B957,12,TRUE,FALSE,18
0007F2BA9B,12,FALSE,FALSE,18
0007F2CA05,12,TRUE,FALSE,18
0007F2E455,13,TRUE,FALSE,18
0007CA3B1C,13,FALSE,FALSE,17
0007CB1E1F,13,FALSE,FALSE,18
0007CB3D9B,13,FALSE,FALSE,18
0007CB3F5E,13,FALSE,FALSE,18
0007CB6BC3,13,FALSE,FALSE,16
0007CB2183,13,TRUE,FALSE,17
0007CB2277,13,TRUE,FALSE,18
0007F2B8A6,13,TRUE,FALSE,17
0007F2945F,13,FALSE,FALSE,18
0007CB0CDD,14,FALSE,FALSE,16
0007CB0F67,14,TRUE,FALSE,16
0007CB6DFA,14,TRUE,FALSE,16
0007CB48B4,14,FALSE,FALSE,16
0007F2B88A,14,FALSE,FALSE,17
0007F2C687,14,FALSE,FALSE,18
0007F2EEFA,14,FALSE,FALSE,17
0007F2F26A,14,FALSE,FALSE,18
0007F2F283,14,TRUE,FALSE,16
0007F29741,14,FALSE,FALSE,17
0007F2B3FF,15,FALSE,FALSE,22
0007CA3A72,15,TRUE,FALSE,22
0007CB0B74,15,FALSE,FALSE,22
0007CB0DBC,15,TRUE,TRUE,22
0007CB2407,15,TRUE,FALSE,22
0007F2B8A2,15,TRUE,FALSE,22
