Mouse_RFID,unique_identifier,group,repetition,fur_pattern,age,mutant,weight_pre,weight_post,weight_diff,rank_by_tube,DS_by_tube,rank_by_chasing,DS_by_chasing,chasing_pc1,chasing_pc2,log10(baseline_rate_mean),cs_plus_detection_speed,cs_plus_detection_speed_intraphase_shaping,cs_plus_detection_speed_crossreversal_shaping,cs_plus_pc1,cs_plus_pc2,cs_minus_pc1,cs_minus_pc2,switching_pc1,switching_pc2,switching_pc3,switching_pc4,switching_pc5,switching_pc6,shaping_pc1,shaping_pc2,shaping_pc3,time_in_arena_average,log10(corner_to_middle_ratio_average),ratio_social_to_total_time_average,social_interaction_pc1,social_interaction_pc2,social_interaction_pc3,social_interaction_pc4,social_interaction_pc5,social_interaction_pc6,social_interaction_pc7,social_interaction_pc8,social_interaction_pc9,RC,RC values,Mutants,Others,All,histology
0007CDAD6B,27,3,1,4,78,FAUX,"28,63","29,17","0,54",6,"0,8333333333",10,"-14,4416666667","-2,0662655247","-1,0523179346","-0,7279210686","0,4",1,"0,8","1,1841521071","0,2535407871","0,7503983563","-1,2629173531","6,9655127841","1,1060491768","0,1402681002","-1,2209654501","0,4094053627","0,5060967498","1,7895384736","1,2999869724","-1,7121074454",,,,,,,,,,,,,FAUX,,,"3598,317948718",,strong
0007CE0327,38,3,1,6,78,FAUX,"29,83","28,94","-0,89",8,"-9,5714285714",6,"-4,8666666667","-1,7655453663","-1,6789783208","-0,4238846705","0,35","0,2857142857","1,4","0,145389634","0,3280614348","0,0475401285","-1,1869890947","3,5321944997","3,2113655046","-1,5746707197","-1,1204209572","-2,774458777","-0,2271443617","3,1099957046","0,1379274207","-0,4786663021","3009,1","2,1565817103","0,1215339112","4,192221938","-3,2370007483","-3,9167829726","2,4504359602","-2,2343551415","0,5342355493","1,531689626","-0,1740844448","1,5466140507",FAUX,,,"4299,0230769231","3009,1",strong
0007CDC91B,31,3,1,3,78,FAUX,"31,69","30,96","-0,73",3,"8,8",3,"8,9666666667","0,661767711","-2,1161849489","-0,1871771874","0,35",3,"0,25","-0,3848748034","0,4311190114","-0,0221295372","-1,1618730837","9,5481177634","-1,1336415877","7,0468222656","-1,6711824498","-0,1867113278","0,7803663901","0,6050674788","-0,3808323874","-2,3083101223","9189,1282051282","1,6414096732","0,105727225","1,6826013555","0,1685531965","-3,3844324621","-3,0951868024","-0,7375364946","-1,1921628399","-0,9564734791","0,2470694822","-0,0130093295",FAUX,,,"3005,4666666667","9189,1282051282",strong
0007CDDBAF,32,3,2,9,61,FAUX,"32,41","31,72","-0,69",10,"-18,9380952381",1,"10,4416666667","0,2327857202","-1,6159960769","0,376950569","0,5","0,4","0,9090909091","-1,0563210936","0,9249415861","-2,0323660946","-0,0054337464","1,7841262355","0,9677561034","-0,6747116034","1,7313850653","1,0118457997","-0,9399660788","-0,3221448617","-1,2390614101","3,6950751688","13468,9743589744","1,8848312906","0,1131266538","5,5563192618","-0,8235822704","-2,8953706662","0,9546511301","-0,8016723479","0,2294120041","0,1441588422","0,3335891066","0,0887842673",VRAI,,,"1551,2523809524","13468,9743589744",strong
0007CD86B3,26,3,1,7,78,FAUX,"32,71","32,56","-0,15",2,"8,9547619048",2,"9,5916666667","1,7981099396","-1,4600362818","0,0381799935","0,45","2,5","0,5","-0,4458550412","0,3761706926","-1,8719214839","-0,0096730187","0,559696708","1,6391159931","-0,1898237778","2,4499327202","-4,4200526214","-1,3042305992","-0,9301444907","0,7436439765","0,2521464603","11803,2717948718","1,3804769539","0,1549455214","5,496135534","2,8667390597","-2,0478123284","-1,4211751131","-0,0867072378","-0,3501622776","-1,3270340558","0,7299191251","-0,4763545025",VRAI,,,"12572,8333333333","11803,2717948718",strong
0007CD7FB2,24,3,1,2,63,VRAI,"34,07","33,52","-0,55",7,"-1,9166666667",8,"-7,2583333333","-6,5195405995","-0,163316442","-0,2321768624","0,6",1,1,"0,5536030659","0,789088884","-1,1623495771","0,1828214179","-0,4156506495","4,1273883758","0,6738640084","0,5889725793","-2,5328068355","-0,1065289231","0,2359115641","-0,6647785591","1,95202405",,,,,,,,,,,,,FAUX,,,"5581,4880952381",,strong
0007CDC395,29,3,1,5,63,VRAI,"34,19","32,36","-1,83",5,"3,1071428571",9,"-10,625","-6,2144541025","0,3685594687","-0,2453420036","0,45","0,7777777778","0,9","0,1203511977","0,3929431501","-2,5306348134","-0,7069712393","4,2806064871","2,3224579837","-0,9914781416","-0,5587205725","0,5680750829","-0,8926409017","1,5297409111","-0,7426313258","1,6958273808","5224,6564102564","2,1870971113","0,1193271941","4,3426460151","-2,3523023265","-2,2053705878","-0,6157653857","-0,424381517","-1,5366809349","0,6587532446","-0,9554572181","-0,8540873599",FAUX,,,"4744,2023809524","5224,6564102564",strong
0007CB0942,5,3,2,1,59,FAUX,"34,47","36,17","1,7",9,"-14,1761904762",7,"-5,5916666667","-3,0019534618","-1,5089719568","-1,1484319906","0,45","0,9090909091","0,8181818182","1,9121792592","0,5497289831","0,5651229906","-1,3145802622","-0,8854663737","0,1100288488","-0,4576348593","-0,0708475817","-0,0142179057","-0,3107071208","0,6027922472","-0,6018536515","0,3906270194","2623,5846153846","1,6473269223","0,0589309205","-12,570166362","-0,3726762842","2,9390939132","-0,2700920894","-3,6674813317","-1,4342827362","-2,0652306343","-1,8378947291","-0,3804751605",FAUX,,,"5214,5023809524","2623,5846153846",strong
0007CD38E5,18,3,1,10,59,FAUX,"35,51","33,64","-1,87",4,"5,4904761905",5,"6,7","2,5722900085","-3,0134684755","0,1781924944","0,35","0,5","0,75","-1,0579409788","0,1868820649","-0,6475312722","-0,2711879077","0,2396664582","0,6872319712","0,2838293407","3,0645009569","0,1841057669","-0,4674531648","-2,1293640484","-0,1156368817","1,4943818054","8245,3025641026","1,4881475354","0,1531131323","6,6260461533","0,9612753583","-1,4224400218","1,4415520816","-1,8863178227","1,0337534428","0,1486552017","0,5036560012","-1,8324956062",FAUX,,,"6103,0928571429","8245,3025641026",strong
0007CD81D3,25,3,1,8,59,FAUX,"37,51","33,42","-4,09",1,"17,4166666667",4,"7,0833333333","0,7770472238","-1,4362298386","-0,6849308517","0,35","1,1428571429","0,5714285714","0,6490699193","-0,0060034675","0,3716592426","0,564908923","2,6016473578","0,6884790243","-2,1549462958","-0,4159145328","-0,3655544928","-1,105625683","1,4576790124","2,6725783725","0,3625605579","10424,417948718","2,0491031017","0,165997831","4,2105768819","4,2976034297","-2,3127659748","-1,4901823477","-0,5545382637","-1,1335276291","-1,6573708021","1,3976824617","0,36820732",VRAI,,,"249,0916666667","10424,417948718",strong
