Mouse_RFID,unique_identifier,group,repetition,fur_pattern,age,mutant,weight_pre,weight_post,weight_diff,rank_by_tube,DS_by_tube,rank_by_chasing,DS_by_chasing,chasing_pc1,chasing_pc2,log10(baseline_rate_mean),cs_plus_detection_speed,cs_plus_detection_speed_intraphase_shaping,cs_plus_detection_speed_crossreversal_shaping,cs_plus_pc1,cs_plus_pc2,cs_minus_pc1,cs_minus_pc2,switching_pc1,switching_pc2,switching_pc3,switching_pc4,switching_pc5,switching_pc6,shaping_pc1,shaping_pc2,shaping_pc3,time_in_arena_average,log10(corner_to_middle_ratio_average),ratio_social_to_total_time_average,social_interaction_pc1,social_interaction_pc2,social_interaction_pc3,social_interaction_pc4,social_interaction_pc5,social_interaction_pc6,social_interaction_pc7,social_interaction_pc8,social_interaction_pc9,RC,RC values,Mutants,Others,All,histology
0007CB3713,10,9,1,5,71,FAUX,"32,15","32,06","-0,09",7,"-6,9772727273",5,"1,7539408867","0,8705169405","-0,4317808886","-0,2140280706","0,6","0,8","1,4","-0,0984316465","1,1160158957","-1,5435502902","0,2363903068","7,2499274264","-0,9315901177","1,4059111526","0,8515891128","-0,4265580224","-1,1802286438","-0,0560353411","-0,1070776987","-1,1536045389",,,,,,,,,,,,,FAUX,,,,,strong
0007CB2224,6,9,4,9,73,FAUX,"36,15","35,18","-0,97",2,"15,3055555556",9,"-15,0488505747","-2,3624262082","-0,2843037797","-0,4804292426","0,4","1,125","1,125","0,6642987459","-0,633865633","-1,472851542","-0,9601139757","0,4105703095","-1,0178391479","2,7501527598","-0,3256157767","3,6794884122","-2,1741630196","-2,612778944","-0,0431931758","0,2396935435",,,,,,,,,,,,,FAUX,,,,,strong
0007CB47A6,13,9,1,4,72,FAUX,"36,48","36,41","-0,07",5,"8,5",7,"0,3082922824","1,1601935567","-1,0329832142","-0,5627584548","0,5","0,2","1,2222222222","0,3199399079","0,6383635478","-0,4343634219","0,3019869689","3,0886314077","0,7993050645","-2,830243372","-0,458133092","0,1522101788","-0,3930500403","1,2984076825","3,4523813025","1,3957687322",,,,,,,,,,,,,FAUX,,,,,strong
0007CA3A3A,4,10,2,7,75,FAUX,"25,77","21,19","-4,58",10,-27,10,"-22,25","-4,3783173199","4,5349497044","0,4109661608","0,7","0,4285714286","0,5384615385","-1,4183120474","0,8998868997","3,0683745133","3,4546436002","-1,4178044444","8,2566199826","0,9156578117","-1,8340276383","2,2180735667","0,335838461","2,9905452498","0,0565346251","0,562003277","6076,3844444444","0,9930514795","0,1061980205","-3,2347801907","1,9713233676","-0,0625724437","-4,4630983733","-1,3028593263","0,9054817595","-0,0890662904","-0,6032936129","0,0453394783",FAUX,,,,"6076,3844444444",strong
0007CB2302,7,10,2,10,75,VRAI,"28,45","28,22","-0,23",8,"-8,3",9,-13,"-3,3761204471","-0,0312395519","-0,688389221","0,95","1,2","0,9375","-0,0401763088","3,4777457501","0,8782178785","0,1684567368","0,3071989803","1,9270522517","-0,9014375198","-3,4915888043","1,4888272333","-0,7585725612","4,0418601091","-1,370056199","0,3670806247","2337,9222222222","1,0648348149","0,1167798568","-9,9202108194","0,5954212412","-2,1095463893","2,0677706875","-4,6371313939","1,5113674695","1,4729564456","1,5133546941","0,8598648752",FAUX,,,,"2337,9222222222",strong
0007CE0327,38,10,5,6,94,FAUX,"28,62","28,56","-0,06",5,"2,8666666667",4,"4,0504201681","0,8100606431","-1,5519259676","-0,2917627338","0,3",1,1,"0,0489235533","0,0616134135","-0,6585831956","0,0938334031","-5,2205297599","-3,464270071","-0,849133855","-0,4656501825","0,5467323296","0,6079912894","-0,5667733371","-2,8176599222","-0,6990929394","3973,0688888889","2,131928175","0,1203290376","-1,1723132613","-0,000711285","-2,5595605693","-0,9553605306","-2,0080606267","-4,083774119","-0,3711186825","2,0823687419","0,262595284",FAUX,,,,"3973,0688888889",strong
0007CB30A6,8,10,2,8,79,VRAI,"29,28","29,67","0,39",3,"7,6833333333",8,"-8,5765851795","-6,3514093402","0,1327477297","0,3580990088","0,5",1,1,"-1,0645160683","0,0432089579","-0,724250038","0,5004826034","0,0561372055","2,4927583206","-0,7082250799","1,9737652551","2,253265559","0,288066234","-0,9945729132","-2,2565483889","0,2262178945","2131,1777777778","1,2296267646","0,090860557","-2,2781505038","0,2791425579","-2,0753130431","-2,7291167172","-2,8380291403","0,550443023","-0,5916100782","-0,7295123626","-3,4183944835",FAUX,,,,"2131,1777777778",weak
0007CDEC0B,36,10,5,2,94,FAUX,"30,08","30,58","0,5",6,"-5,0833333333",2,"15,3372803667","0,9762032145","-1,6745037333","-1,3871492333","0,5",1,"0,9090909091","3,1810316106","-1,1798564904","3,6395228542","-1,7501970704","0,0290221189","-2,3501424216","0,2157213303","-0,5505627746","1,8216910452","-2,880442679","-0,2848181325","-0,7260630271","0,263678944","5345,7111111111","1,3320908867","0,1601524795","2,9063091689","-0,5179938869","2,5423710831","-1,5827521626","-0,0821004099","-2,8980579064","-0,6960027141","-0,1576691633","0,2609555422",VRAI,,,,"5345,7111111111",strong
0007CB3713,10,10,2,5,75,FAUX,"31,29","31,94","0,65",9,"-20,4166666667",6,"-3,9387700535","-3,9775709705","-0,6264556404","-0,8193272488","0,5","1,1",1,"1,0239072424","-0,0703144967","1,289077851","-1,3638517528","4,131023028","1,2173898784","-1,4467196743","-0,1144011713","1,9188753987","-0,3564428883","0,8155152446","-0,3994788959","1,3365399726","3618,3355555556","1,5125328522","0,1105867584","-0,9764541851","-2,8323486246","0,1752156423","-3,8337787978","-0,4505542477","0,3955218757","1,0710658501","-1,3249264241","-0,1309444245",FAUX,,,,"3618,3355555556",strong
0007CDDBAF,32,10,5,9,77,FAUX,"31,39","32,25","0,86",2,"24,1666666667",3,"14,9604278075","1,6473296625","-2,561329524","-1,2735593969","0,55","0,7857142857",1,"3,1762164537","0,2981915603","1,3552609077","-1,460382375","0,3409061915","-1,0765667929","-1,4185106174","0,3340802706","0,5399356892","-0,4160930893","0,690655221","-0,3474970923","-0,6714557511","12595,48","1,7044463223","0,1032126869","1,645718634","-0,0179968009","3,7495224871","-2,7160187186","1,4279854671","-2,2006384432","0,5248459755","-1,19458483","0,8914426896",FAUX,,,,"12595,48",strong
0007CDE223,33,10,4,3,94,FAUX,"32,49","32,27","-0,22",4,"5,6666666667",1,"20,0294117647","2,471063388","-1,7266395126","-0,7350564078","0,35","1,1428571429",1,"0,6870310404","-0,0820666353","2,5879123423","0,1728652988","2,0059214795","2,1654728872","0,6220119116","2,3045762628","0,69408706","-1,1358726794","-0,6754642984","-0,6241294395","0,1688644216","7097,1044444444","1,4480942258","0,1561203207","4,7802517114","0,3940652461","4,556930116","0,4983811205","0,3115216585","-3,3778043077","-0,8999333097","1,7448570198","-0,469929085",VRAI,,,,"7097,1044444444",strong
0007CB0942,5,10,5,1,75,FAUX,"35,77","35,94","0,17",7,"-6,9166666667",7,"-4,5","-1,9592537364","-1,5113541219","-0,8710690339","0,35","1,1428571429",1,"2,2249474213","-1,2812432274","0,0866919942","-1,1389443461","-2,5180895345","-1,7532771131","-1,4852879028","-2,8779457048","-0,7420086362","-1,500026005","3,9189102702","0,3468150779","1,8780374039","4696,4955555556","1,2758642253","0,1082793175","1,379458423","-2,3409092915","0,5941639221","-1,9625372516","-0,8100470039","-0,5149800876","-0,067219557","-0,7028283129","-0,7890998336",FAUX,,,,"4696,4955555556",strong
0007CB47A6,13,10,2,4,76,FAUX,"35,97","35,95","-0,02",1,"27,3333333333",5,"-2,1121848739","-3,0413469572","-1,9049311637","-1,2806101298","0,45","1,125","0,8888888889","2,509590118","-1,3661329579","1,0103565689","-1,3309073938","-4,4338369763","-2,4113857322","6,3904247955","3,2426223043","-3,4818845077","-0,1020072345","-6,4739880316","0,0510625412","-1,6042558552","6233,0088888889","1,9715358226","0,1055081655","4,9675174492","-4,1809653898","2,3653335744","-2,2365173643","-0,2750524567","-0,9432863713","2,1488112149","-3,0326118959","0,6978517515",FAUX,,,,"6233,0088888889",strong
