"","start_frame","focal","partner","focal_smooth","partner_smooth","day","group","approacher_smooth"
"124",1025228,"0007AC2B02","0007CD77C5",15.9605433256438,25.490233232554,"15",1,"0007CD77C5"
"125",1077373,"0007AC2B02","0007CD77C5",278.177120691635,500.273500378593,"15",1,"0007CD77C5"
"126",1077507,"0007AC2B02","0007CD77C5",78.8633076617055,56.8641412909056,"15",1,"0007AC2B02"
"127",1108485,"0007AC2B02","0007CD77C5",138.906664795515,77.5978486925841,"15",1,"0007AC2B02"
"128",1132486,"0007AC2B02","0007CD77C5",NA,NA,"15",1,NA
"129",1132901,"0007AC2B02","0007CD77C5",NA,93.897902824324,"15",1,NA
"130",1139416,"0007AC2B02","0007CD77C5",67.3333085333734,89.9170673708063,"15",1,"0007CD77C5"
"131",1145457,"0007AC2B02","0007CD77C5",NA,96.8554185744634,"15",1,NA
"132",1146037,"0007AC2B02","0007CD77C5",148.09033315369,13.7420692042893,"15",1,"0007AC2B02"
"133",1146255,"0007AC2B02","0007CD77C5",397.803381121605,162.444345918064,"15",1,"0007AC2B02"
"134",1344942,"0007AC2B02","0007CD77C5",324.989248831481,1.5351936486999,"15",1,"0007AC2B02"
"135",1345293,"0007AC2B02","0007CD77C5",NA,NA,"15",1,NA
"136",1361913,"0007AC2B02","0007CD77C5",35.5082439129361,4.66430653210829,"15",1,"0007AC2B02"
"137",1362063,"0007AC2B02","0007CD77C5",36.0024673178054,NA,"15",1,NA
"138",1435797,"0007AC2B02","0007CD77C5",237.8124700448,16.6040230916549,"15",1,"0007AC2B02"
"139",1435909,"0007AC2B02","0007CD77C5",203.634985605052,26.3964397529756,"15",1,"0007AC2B02"
"140",1489359,"0007AC2B02","0007CD77C5",NA,32.5668334510717,"15",1,NA
"141",1490669,"0007AC2B02","0007CD77C5",356.980567577289,9.36997306132733,"15",1,"0007AC2B02"
"142",1491118,"0007AC2B02","0007CD77C5",336.132870830185,9.81756533448591,"15",1,"0007AC2B02"
"143",1690847,"0007AC2B02","0007CD77C5",NA,528.283180219967,"15",1,NA
"144",1722299,"0007AC2B02","0007CD77C5",NA,29.0874124065559,"15",1,NA
"145",1908269,"0007AC2B02","0007CD77C5",NA,33.1745795792128,"15",1,NA
"146",1910842,"0007AC2B02","0007CD77C5",189.61406315473,358.388642576144,"15",1,"0007CD77C5"
"147",1912188,"0007AC2B02","0007CD77C5",99.6068146728648,41.2184079735445,"15",1,"0007AC2B02"
"148",940967,"0007AC2B02","0007CDADED",365.608152060262,78.4150131671165,"15",1,"0007AC2B02"
"149",952939,"0007AC2B02","0007CDADED",224.824783813232,3.8035132293621,"15",1,"0007AC2B02"
"150",960611,"0007AC2B02","0007CDADED",NA,26.6975914726854,"15",1,NA
"151",977753,"0007AC2B02","0007CDADED",9.10026065547832,NA,"15",1,NA
"152",992240,"0007AC2B02","0007CDADED",6.22498148788011,63.1890905908305,"15",1,"0007CDADED"
"153",1361699,"0007AC2B02","0007CDADED",262.492367761506,8.06616145900701,"15",1,"0007AC2B02"
"154",1563688,"0007AC2B02","0007CDADED",264.504790279023,25.5365182434788,"15",1,"0007AC2B02"
"155",1563769,"0007AC2B02","0007CDADED",341.551625683536,46.0481532493443,"15",1,"0007AC2B02"
"156",1566416,"0007AC2B02","0007CDADED",20.8426055457381,NA,"15",1,NA
"157",1566518,"0007AC2B02","0007CDADED",23.2397054488128,90.9089042229375,"15",1,"0007CDADED"
"158",1567434,"0007AC2B02","0007CDADED",10.3277013186974,NA,"15",1,NA
"159",1567545,"0007AC2B02","0007CDADED",13.7545913891192,14.8956172289682,"15",1,"0007CDADED"
"160",1912122,"0007AC2B02","0007CDADED",238.064828655752,133.089812137917,"15",1,"0007AC2B02"
"161",632086,"0007AC2B02","0007CDC443",257.345264816965,35.7251888922935,"15",1,"0007AC2B02"
"162",952943,"0007AC2B02","0007CDC443",243.197270654662,NA,"15",1,NA
"163",954498,"0007AC2B02","0007CDC443",10.5474886331652,128.953065846852,"15",1,"0007CDC443"
"164",955119,"0007AC2B02","0007CDC443",36.8480005811299,NA,"15",1,NA
"165",1018580,"0007AC2B02","0007CDC443",3.36882035786417,8.00851712969055,"15",1,"0007CDC443"
"166",1018675,"0007AC2B02","0007CDC443",7.58797419051509,8.10338373296936,"15",1,"0007CDC443"
"167",1109957,"0007AC2B02","0007CDC443",323.862560366104,44.0758327586518,"15",1,"0007AC2B02"
"168",1201359,"0007AC2B02","0007CDC443",59.7574300857948,NA,"15",1,NA
"169",1445472,"0007AC2B02","0007CDC443",248.041319596181,15.4340278319875,"15",1,"0007AC2B02"
"170",1445539,"0007AC2B02","0007CDC443",291.407118628195,27.0422514646991,"15",1,"0007AC2B02"
"171",1456240,"0007AC2B02","0007CDC443",37.3518960308323,NA,"15",1,NA
"172",1659658,"0007AC2B02","0007CDC443",46.2450149560103,1017.18799064172,"15",1,"0007CDC443"
"173",654253,"0007AC2B02","0007CDDBAF",87.8557426772079,50.349316946125,"15",1,"0007AC2B02"
"174",655878,"0007AC2B02","0007CDDBAF",37.9485866634992,NA,"15",1,NA
"175",976047,"0007AC2B02","0007CDDBAF",110.960298537257,NA,"15",1,NA
"176",977003,"0007AC2B02","0007CDDBAF",5.40710871531272,NA,"15",1,NA
"177",982479,"0007AC2B02","0007CDDBAF",19.6064166147223,NA,"15",1,NA
"178",982598,"0007AC2B02","0007CDDBAF",12.3030772838543,7.36245179711907,"15",1,"0007AC2B02"
"179",987239,"0007AC2B02","0007CDDBAF",16.9316535108015,NA,"15",1,NA
"180",991294,"0007AC2B02","0007CDDBAF",4.52576470625104,40.0418299483358,"15",1,"0007CDDBAF"
"181",991479,"0007AC2B02","0007CDDBAF",33.375505133363,41.6068452174934,"15",1,"0007CDDBAF"
"182",994380,"0007AC2B02","0007CDDBAF",4.12872487405281,132.802366759452,"15",1,"0007CDDBAF"
"183",1002940,"0007AC2B02","0007CDDBAF",6.36317967639772,NA,"15",1,NA
"184",1003690,"0007AC2B02","0007CDDBAF",10.7166189199166,NA,"15",1,NA
"185",1007508,"0007AC2B02","0007CDDBAF",19.3736908776436,NA,"15",1,NA
"186",1008211,"0007AC2B02","0007CDDBAF",18.9993162923419,NA,"15",1,NA
"187",1008781,"0007AC2B02","0007CDDBAF",13.6019038653706,NA,"15",1,NA
"188",1009784,"0007AC2B02","0007CDDBAF",10.0277747733204,4.12308348447715,"15",1,"0007AC2B02"
"189",1010200,"0007AC2B02","0007CDDBAF",NA,10.8877602689437,"15",1,NA
"190",1010243,"0007AC2B02","0007CDDBAF",7.134291842605,13.0187641219573,"15",1,"0007CDDBAF"
"191",1010294,"0007AC2B02","0007CDDBAF",12.5887312552463,11.2687674291755,"15",1,"0007AC2B02"
"192",1010653,"0007AC2B02","0007CDDBAF",6.94229359322859,11.120743217109,"15",1,"0007CDDBAF"
"193",1039561,"0007AC2B02","0007CDDBAF",66.4786510922182,NA,"15",1,NA
"194",1146940,"0007AC2B02","0007CDDBAF",NA,8.0319667603539,"15",1,NA
"195",1180941,"0007AC2B02","0007CDDBAF",185.541458739335,52.5022572657653,"15",1,"0007AC2B02"
"196",1181479,"0007AC2B02","0007CDDBAF",113.429392002486,18.9153006277836,"15",1,"0007AC2B02"
"197",1181998,"0007AC2B02","0007CDDBAF",44.1901023964484,52.7918216077188,"15",1,"0007CDDBAF"
"198",1182325,"0007AC2B02","0007CDDBAF",67.6692425419973,68.7915033217756,"15",1,"0007CDDBAF"
"199",1408606,"0007AC2B02","0007CDDBAF",12.5502651577716,NA,"15",1,NA
"200",935180,"0007CB0942","0007AC2B02",26.0260582229158,264.998773183197,"15",1,"0007AC2B02"
"201",954931,"0007CB0942","0007AC2B02",NA,12.6822502120607,"15",1,NA
"202",977507,"0007CB0942","0007AC2B02",81.537630971305,5.71101307743231,"15",1,"0007CB0942"
"203",977740,"0007CB0942","0007AC2B02",19.4613394001136,12.4201035388665,"15",1,"0007CB0942"
"204",977784,"0007CB0942","0007AC2B02",25.3929630528689,8.37354936685423,"15",1,"0007CB0942"
"205",977947,"0007CB0942","0007AC2B02",63.0603897161059,13.1059546655083,"15",1,"0007CB0942"
"206",987073,"0007CB0942","0007AC2B02",NA,17.8781666411169,"15",1,NA
"207",991433,"0007CB0942","0007AC2B02",NA,32.1771137112694,"15",1,NA
"208",995440,"0007CB0942","0007AC2B02",NA,60.3432681310961,"15",1,NA
"209",995481,"0007CB0942","0007AC2B02",1.45986000767675,8.04474498190389,"15",1,"0007AC2B02"
"210",996160,"0007CB0942","0007AC2B02",4.93641809797067,4.16159275874133,"15",1,"0007CB0942"
"211",996259,"0007CB0942","0007AC2B02",4.20349067956544,408.600458619687,"15",1,"0007AC2B02"
"212",996396,"0007CB0942","0007AC2B02",113.43895345983,2.73272471999025,"15",1,"0007CB0942"
"213",1444744,"0007CB0942","0007AC2B02",NA,109.378652354478,"15",1,NA
"214",1445337,"0007CB0942","0007AC2B02",231.943238067234,390.589878727945,"15",1,"0007AC2B02"
"215",1692417,"0007CB0942","0007AC2B02",NA,NA,"15",1,NA
"216",1692457,"0007CB0942","0007AC2B02",9.07345646677624,27.2200968158267,"15",1,"0007AC2B02"
"217",1829569,"0007CB0942","0007AC2B02",314.572005966212,51.2202017613214,"15",1,"0007CB0942"
"218",653851,"0007CB0942","0007CB44CE",NA,NA,"15",1,NA
"219",1368198,"0007CB0942","0007CB44CE",18.2443186567424,42.972689942921,"15",1,"0007CB44CE"
"220",978967,"0007CB0942","0007CB7051",357.792834741379,25.84613116553,"15",1,"0007CB0942"
"221",1868558,"0007CB0942","0007CB7051",68.3400240092743,46.0534340376872,"15",1,"0007CB0942"
"222",1868673,"0007CB0942","0007CB7051",121.691108487966,66.9942345244526,"15",1,"0007CB0942"
"223",1911270,"0007CB0942","0007CD6778",NA,5.04132092240044,"15",1,NA
"224",1912710,"0007CB0942","0007CD6778",8.22209691764117,NA,"15",1,NA
"225",987090,"0007CB0942","0007CD765E",NA,NA,"15",1,NA
"226",1132261,"0007CB0942","0007CD765E",48.4641984835396,NA,"15",1,NA
"227",1462836,"0007CB0942","0007CD765E",57.0733427612228,7.56057979846792,"15",1,"0007CB0942"
"228",536525,"0007CB0942","0007CD77C5",NA,238.155685824372,"15",1,NA
"229",546692,"0007CB0942","0007CD77C5",365.945028477398,21.0095762623384,"15",1,"0007CB0942"
"230",991433,"0007CB0942","0007CD77C5",NA,31.2696092174262,"15",1,NA
"231",1094695,"0007CB0942","0007CD77C5",NA,31.6368030083806,"15",1,NA
"232",1158634,"0007CB0942","0007CD77C5",12.9292501008168,370.153078279355,"15",1,"0007CD77C5"
"233",1163127,"0007CB0942","0007CD77C5",NA,24.1601323093387,"15",1,NA
"234",1445687,"0007CB0942","0007CD77C5",83.0491694248353,340.299891203877,"15",1,"0007CD77C5"
"235",1460267,"0007CB0942","0007CD77C5",NA,37.8713441305163,"15",1,NA
"236",1460366,"0007CB0942","0007CD77C5",7.35847197956787,5.96232313457818,"15",1,"0007CB0942"
"237",1460440,"0007CB0942","0007CD77C5",24.7628460605528,8.33363263230593,"15",1,"0007CB0942"
"238",1460567,"0007CB0942","0007CD77C5",13.8335117841334,31.2385650838507,"15",1,"0007CD77C5"
"239",1460665,"0007CB0942","0007CD77C5",24.9926882409925,17.2321138306745,"15",1,"0007CB0942"
"240",1460837,"0007CB0942","0007CD77C5",NA,206.332205633804,"15",1,NA
"241",1834510,"0007CB0942","0007CD77C5",313.191035110556,392.214828965721,"15",1,"0007CD77C5"
"242",1834676,"0007CB0942","0007CD77C5",448.452628459409,79.1421204224546,"15",1,"0007CB0942"
"243",1860782,"0007CB0942","0007CD77C5",NA,15.8931288161455,"15",1,NA
"244",1861662,"0007CB0942","0007CD77C5",5.56975017844082,14.1775992070517,"15",1,"0007CD77C5"
"245",950019,"0007CB0942","0007CDADED",NA,68.6384066534357,"15",1,NA
"246",1102124,"0007CB0942","0007CDADED",11.8683314218089,340.68633661552,"15",1,"0007CDADED"
"247",1102232,"0007CB0942","0007CDADED",19.6889624980707,19.4695036034798,"15",1,"0007CB0942"
"248",1135925,"0007CB0942","0007CDADED",76.6930044747345,31.0822552189763,"15",1,"0007CB0942"
"249",1136262,"0007CB0942","0007CDADED",24.7388746593591,NA,"15",1,NA
"250",1160204,"0007CB0942","0007CDADED",51.52167900676,NA,"15",1,NA
"251",1160293,"0007CB0942","0007CDADED",5.67515685355491,4.1714676368685,"15",1,"0007CB0942"
"252",1236015,"0007CB0942","0007CDADED",12.6262806043878,17.07732510148,"15",1,"0007CDADED"
"253",1361544,"0007CB0942","0007CDADED",9.23823102831671,NA,"15",1,NA
"254",1366617,"0007CB0942","0007CDADED",NA,249.723459068558,"15",1,NA
"255",1366656,"0007CB0942","0007CDADED",150.216083988709,170.226357346738,"15",1,"0007CDADED"
"256",1367153,"0007CB0942","0007CDADED",NA,294.023747428243,"15",1,NA
"257",1534352,"0007CB0942","0007CDADED",NA,32.5142650212341,"15",1,NA
"258",1534500,"0007CB0942","0007CDADED",33.3618087455742,23.9330628221272,"15",1,"0007CB0942"
"259",1563096,"0007CB0942","0007CDADED",8.72209268272806,5.31432945600858,"15",1,"0007CB0942"
"260",1869812,"0007CB0942","0007CDADED",129.044181222052,34.5864387758901,"15",1,"0007CB0942"
"261",1892882,"0007CB0942","0007CDADED",NA,30.3908389526963,"15",1,NA
"262",1367185,"0007CB0942","0007CDC443",4.8178892810149,NA,"15",1,NA
"263",1422230,"0007CB0942","0007CDC443",NA,NA,"15",1,NA
"264",978948,"0007CB0942","0007CDDBAF",396.120398132069,NA,"15",1,NA
"265",991252,"0007CB0942","0007CDDBAF",NA,NA,"15",1,NA
"266",996465,"0007CB0942","0007CDDBAF",93.439863547305,164.460694673674,"15",1,"0007CDDBAF"
"267",653618,"0007CB44CE","0007AC2B02",9.69244131327386,192.397707224778,"15",1,"0007AC2B02"
"268",701059,"0007CB44CE","0007AC2B02",NA,28.7331553049477,"15",1,NA
"269",1145792,"0007CB44CE","0007AC2B02",56.1884944114643,NA,"15",1,NA
"270",1170167,"0007CB44CE","0007AC2B02",5.8866767809912,327.165545253239,"15",1,"0007AC2B02"
"271",1170335,"0007CB44CE","0007AC2B02",85.6265429693293,102.062432286242,"15",1,"0007AC2B02"
